47.8,30.39,100.737,4.65
46.9,33.27,100.706,4.64
48,35.65,100.64,4.51
49.7,37.32,100.526,4.15
50.2,38.19,100.382,3.74
49.6,38.04,100.291,3.41
53.2,36.88,100.199,3.42
60.6,34.77,100.171,3.51
72.2,31.7,100.187,3.84
86.2,27.46,100.279,4.64
93.3,25.87,100.381,5.59
92.8,25.32,100.491,6.12
90.2,24.78,100.549,6.25
85.2,24.25,100.599,6.15
79.5,23.78,100.624,6.02
73.7,23.35,100.599,5.84
67.5,22.91,100.574,5.58
60.8,22.53,100.54,5.31
55,22.17,100.517,5.08
50.2,21.86,100.546,4.92
45.5,21.61,100.57,4.86
21.1,22.72,100.7,5.64
21.4,23.52,100.777,5.43
26.7,26.04,100.856,5.45
35.5,28.8,100.88,5.98
40,31.4,100.863,6.27
43,33.11,100.794,6.36
46.5,34.18,100.676,6.28
51.7,34.57,100.551,6.13
58,34.38,100.445,5.87
62.9,33.37,100.395,5.91
67,31.72,100.404,6.06
69.8,29.72,100.424,6.05
71.2,27.51,100.489,5.86
71.9,26.43,100.579,5.76
69.6,25.88,100.664,5.94
68.2,25.45,100.692,6.12
66.5,25.08,100.711,6.23
63.6,24.76,100.679,6.34
60.1,24.46,100.657,6.39
56,24.26,100.583,6.34
52.3,24.05,100.513,6.19
46.2,23.75,100.504,5.74
39.9,23.49,100.486,5.26
34.9,23.26,100.509,4.89
42.2,21.84,100.744,5.37
35,23.42,100.845,5.19
35.5,27.14,100.896,5.31
38.3,30.61,100.892,5.61
40.9,33.72,100.851,5.72
44.7,36.29,100.769,5.81
47.6,38.01,100.633,5.88
49.9,38.78,100.49,5.94
52.3,38.57,100.371,6.01
57.3,37.48,100.287,6.05
62.9,35.38,100.28,6.11
69.2,32.48,100.29,6.24
79.2,28.99,100.396,6.48
87.2,27.33,100.512,7.05
89,26.61,100.634,7.4
86.5,25.93,100.762,7.42
82.6,25.31,100.812,7.17
78.9,24.76,100.818,6.68
75.7,24.2,100.779,6.09
71.6,23.6,100.719,5.54
66.3,23.03,100.646,5.18
58.8,22.5,100.647,4.9
50.5,22.15,100.709,4.83
42.5,21.9,100.773,4.96
37.5,22.33,100.839,5.73
34.9,24.21,100.905,5.92
39.4,27.3,100.995,6.78
44.1,30.71,101,7.21
46.9,33.68,100.983,7.01
49,36,100.912,6.76
52.1,37.82,100.785,6.46
57.1,38.66,100.625,6.11
63.5,38.4,100.506,5.8
68,37.15,100.427,5.93
72.8,34.96,100.434,6.2
78.1,32.06,100.477,6.37
82.2,28.53,100.594,6.31
82.8,26.76,100.735,6.41
78.1,26.08,100.871,6.61
73.4,25.53,100.952,6.82
68.8,24.97,100.977,6.8
63,24.36,100.955,6.55
56.8,23.73,100.899,6.18
50.4,23.12,100.826,5.82
44.8,22.56,100.727,5.52
39.9,22,100.701,5.14
35.8,21.54,100.68,4.87
32.8,21.17,100.72,4.73
41.4,22.42,100.511,5.73
38.7,24.04,100.594,5.79
41.7,28.14,100.696,6.56
42.1,31.52,100.733,7.43
42.8,34.5,100.688,7.71
46.2,36.83,100.631,7.88
50.9,38.39,100.493,7.99
56.2,39.01,100.341,8.04
60.9,38.58,100.204,8.1
65.2,37.25,100.109,8.17
68.1,35.07,100.102,8.23
71,32.12,100.144,8.2
73.4,28.93,100.241,7.93
74.9,27.35,100.354,7.65
72.9,26.55,100.498,7.71
68.2,25.9,100.578,7.91
63.3,25.31,100.648,8.1
58.9,24.82,100.661,8.15
55.4,24.38,100.624,8.01
52.6,23.92,100.566,7.71
50.3,23.61,100.502,7.43
47.2,23.38,100.494,6.95
42.8,23.26,100.514,6.52
38.3,23.27,100.52,6.24
36,24.11,100.493,6.14
39.5,25.17,100.58,6.12
48.5,27.39,100.699,6.84
54.7,29.86,100.744,7.63
57.6,32.25,100.726,7.95
59.2,34.98,100.642,8.09
59.8,36.86,100.51,8.09
59.5,37.88,100.351,7.97
58.2,37.99,100.158,7.81
58.1,36.84,100.049,7.82
59.8,34.77,100.018,7.92
62,32.13,100.013,7.95
66.9,29.56,100.103,7.71
71.4,28.31,100.216,7.56
72.3,27.46,100.334,7.67
71.5,26.7,100.427,7.69
69.3,26.04,100.492,7.66
66.2,25.43,100.483,7.45
63.2,24.9,100.452,7.09
60.1,24.31,100.355,6.7
56.7,23.82,100.303,6.37
52.3,23.39,100.263,6.16
47.5,23.03,100.284,6.09
43.1,22.68,100.315,6.14
32.1,20.71,100.305,4.99
32.1,23,100.381,4.82
39.6,27.62,100.482,5.04
44.1,31.76,100.535,5.35
44.6,35.35,100.489,5.41
44.4,38.25,100.385,5.37
45.6,40.2,100.238,5.25
48,41.11,100.108,5.05
51.6,41.04,99.963,4.81
57.5,39.77,99.864,4.69
64.8,37.53,99.814,4.73
75.3,34.27,99.82,5
89,30.17,99.911,5.62
98.9,27.92,100.004,6.33
100.8,26.91,100.089,6.49
98.1,25.93,100.153,6.33
93.2,25.08,100.179,6.04
87.3,24.4,100.171,5.71
80.4,23.67,100.143,5.33
72.5,23,100.1,4.92
63.5,22.4,100.024,4.54
53.9,21.83,100.031,4.23
44.4,21.3,100.055,3.99
34.2,20.84,100.11,3.88
40.7,19.47,100.263,2.91
32.1,22.91,100.387,2.73
39.8,28.3,100.5,2.68
47.2,32.66,100.564,2.8
50.6,36.35,100.538,3.07
54.2,39.04,100.482,3.41
60.8,40.7,100.361,3.75
68.4,41.25,100.184,4.04
75.6,40.69,100.061,4.27
79.8,39.1,99.989,4.5
83.4,36.54,99.991,4.76
89.6,33.07,100.043,5.06
99.8,28.75,100.085,5.52
107.1,26.19,100.196,5.91
108.6,25.04,100.298,5.8
104.8,24.19,100.364,5.89
98,23.45,100.389,5.9
90,22.77,100.377,5.8
82,22.15,100.36,5.6
74,21.51,100.276,5.32
65.5,20.96,100.208,5
54.1,20.31,100.163,4.19
36.9,19.75,100.199,3.47
17.8,19.35,100.246,3.29
181.5,23.32,100.429,1.77
176,26.14,100.519,1.74
162.3,29.56,100.6,2.03
139.3,32.78,100.64,2.29
117.7,36.2,100.653,2.52
102.3,38.29,100.577,2.84
93.7,39.52,100.46,3.28
88.7,39.85,100.344,3.74
85.9,38.8,100.215,4.19
